Anio,Mes,Alliance,region_norm,usuarios_activos,horas_totales,registros
2022,10,512,MONTE CRISTI,59,282.3,59
2022,10,512,MONTE PLATA,20,5.6,20
2022,10,512,NAGUA,57,139.6,58
2022,10,512,PUERTO PLATA,187,531.1,187
2022,10,512,SAN CRISTOBAL,257,468.5,258
2022,10,512,SAN FRANCISCO DE MACORIS,160,264.7,162
2022,10,512,SAN JUAN DE LA MAGUANA,109,205.7,109
2022,10,512,SAN PEDRO DE MACORIS,364,1307.3,365
2022,10,512,SANTIAGO,486,1292.2,487
2022,10,512,SANTO DOMINGO,3152,12837.5,3167
2022,10,512,Sin ubicación,13181,41063.8,13207
2022,10,IQ Primaria,AZUA,3,6.3,6
2022,10,IQ Primaria,BARAHONA,3,17.4,12
2022,10,IQ Primaria,HIGUEY,3,10.0,4
2022,10,IQ Primaria,LA VEGA,1,0.8,1
2022,10,IQ Primaria,MAO,4,50.2,8
2022,10,IQ Primaria,MONTE CRISTI,1,0.3,1
2022,10,IQ Primaria,NAGUA,4,69.1,18
2022,10,IQ Primaria,PUERTO PLATA,1,10.5,2
2022,10,IQ Primaria,SAN CRISTOBAL,1,6.0,1
2022,10,IQ Primaria,SAN FRANCISCO DE MACORIS,1,0.1,1
2022,10,IQ Primaria,SAN JUAN DE LA MAGUANA,1,1.1,3
2022,10,IQ Primaria,SANTO DOMINGO,25,153.7,50
2022,10,IQ Primaria,Sin ubicación,67,819.7,161
2022,10,IQ Secundaria,AZUA,5,29.8,12
2022,10,IQ Secundaria,BAHORUCO,3,8.7,4
2022,10,IQ Secundaria,BARAHONA,4,8.8,5
2022,10,IQ Secundaria,COTUI,3,3.5,4
2022,10,IQ Secundaria,HIGUEY,5,23.8,6
2022,10,IQ Secundaria,LA VEGA,26,141.9,35
2022,10,IQ Secundaria,MAO,1,4.4,2
2022,10,IQ Secundaria,MONTE CRISTI,2,0.8,2
2022,10,IQ Secundaria,MONTE PLATA,3,7.2,4
2022,10,IQ Secundaria,NAGUA,19,771.4,115
2022,10,IQ Secundaria,PUERTO PLATA,6,48.9,7
2022,10,IQ Secundaria,SAN CRISTOBAL,10,28.2,14
2022,10,IQ Secundaria,SAN FRANCISCO DE MACORIS,6,32.0,9
2022,10,IQ Secundaria,SAN JUAN DE LA MAGUANA,6,25.5,7
2022,10,IQ Secundaria,SAN PEDRO DE MACORIS,6,12.0,8
2022,10,IQ Secundaria,SANTIAGO,62,979.2,158
2022,10,IQ Secundaria,SANTO DOMINGO,148,965.2,271
2022,10,IQ Secundaria,Sin ubicación,111,820.4,192
2022,11,512,AZUA,3,22.9,3
2022,11,512,COTUI,1,3.2,1
2022,11,512,MONTE CRISTI,1,8.5,1
2022,11,512,SAN CRISTOBAL,1,1.5,1
2022,11,512,SANTO DOMINGO,6,51.7,10
2022,11,512,Sin ubicación,5,51.2,11
2022,11,IQ Primaria,AZUA,1,19.6,4
2022,11,IQ Primaria,BARAHONA,6,119.3,28
2022,11,IQ Primaria,LA VEGA,1,1.0,1
2022,11,IQ Primaria,MAO,9,42.1,13
2022,11,IQ Primaria,NAGUA,3,22.2,7
2022,11,IQ Primaria,PUERTO PLATA,1,1.6,2
2022,11,IQ Primaria,SAN CRISTOBAL,2,3.1,2
2022,11,IQ Primaria,SAN FRANCISCO DE MACORIS,1,18.2,1
