Anio,Semestre,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2022,S2,IQP,Docente,6to grado,MAO,18,139.3,50
2022,S2,IQP,Docente,6to grado,MONTE CRISTI,2,0.7,3
2022,S2,IQP,Docente,6to grado,NAGUA,3,32.2,6
2022,S2,IQP,Docente,6to grado,PUERTO PLATA,2,10.7,3
2022,S2,IQP,Docente,6to grado,SAN CRISTOBAL,4,9.9,5
2022,S2,IQP,Docente,6to grado,SAN FRANCISCO DE MACORIS,2,18.3,2
2022,S2,IQP,Docente,6to grado,SAN PEDRO DE MACORIS,2,3.4,2
2022,S2,IQP,Docente,6to grado,SANTO DOMINGO,18,22.7,24
2022,S2,IQP,Docente,6to grado,Sin ubicación,23,74.6,38
2022,S2,IQP,Estudiante,1er grado,BARAHONA,2,69.0,23
2022,S2,IQP,Estudiante,1er grado,HIGUEY,1,12.6,3
2022,S2,IQP,Estudiante,1er grado,NAGUA,1,0.3,1
2022,S2,IQP,Estudiante,1er grado,SAN CRISTOBAL,1,0.0,1
2022,S2,IQP,Estudiante,1er grado,SAN JUAN DE LA MAGUANA,2,8.0,3
2022,S2,IQP,Estudiante,1er grado,SANTO DOMINGO,10,181.8,54
2022,S2,IQP,Estudiante,1er grado,Sin ubicación,22,95.7,58
2022,S2,IQP,Estudiante,2do grado,AZUA,1,29.1,18
2022,S2,IQP,Estudiante,2do grado,PUERTO PLATA,1,1.6,2
2022,S2,IQP,Estudiante,2do grado,SAN JUAN DE LA MAGUANA,1,2.7,4
2022,S2,IQP,Estudiante,2do grado,SANTO DOMINGO,2,2.6,5
2022,S2,IQP,Estudiante,2do grado,Sin ubicación,12,75.5,41
2022,S2,IQP,Estudiante,3er grado,MAO,1,0.2,1
2022,S2,IQP,Estudiante,3er grado,SAN CRISTOBAL,1,1.4,1
2022,S2,IQP,Estudiante,3er grado,SANTIAGO,1,0.4,1
2022,S2,IQP,Estudiante,3er grado,SANTO DOMINGO,15,26.6,29
2022,S2,IQP,Estudiante,3er grado,Sin ubicación,18,181.5,64
2022,S2,IQP,Estudiante,4to grado,MAO,1,1.8,1
2022,S2,IQP,Estudiante,4to grado,SANTO DOMINGO,9,57.9,31
2022,S2,IQP,Estudiante,4to grado,Sin ubicación,13,174.6,48
