Anio,Trimestre,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2022,Q2,IQP,Estudiante,6to grado,SANTO DOMINGO,150,749.3,275
2022,Q2,IQP,Estudiante,6to grado,Sin ubicación,176,1330.0,453
2022,Q2,IQP,Parent,No especificado,Sin ubicación,5,13.2,9
2022,Q2,IQP,Sin rol,No especificado,Sin ubicación,2,634.6,58
2022,Q3,IQ512,Admin,No especificado,Sin ubicación,1,0.2,1
2022,Q3,IQP,Admin,No especificado,Sin ubicación,1,4.5,12
2022,Q3,IQP,Docente,6to grado,BARAHONA,3,88.7,17
2022,Q3,IQP,Docente,6to grado,COTUI,1,0.5,1
2022,Q3,IQP,Docente,6to grado,HIGUEY,1,1.5,1
2022,Q3,IQP,Docente,6to grado,LA VEGA,3,1.7,3
2022,Q3,IQP,Docente,6to grado,MAO,17,50.5,32
2022,Q3,IQP,Docente,6to grado,MONTE CRISTI,1,0.4,2
2022,Q3,IQP,Docente,6to grado,NAGUA,1,1.8,1
2022,Q3,IQP,Docente,6to grado,PUERTO PLATA,1,0.2,1
2022,Q3,IQP,Docente,6to grado,SAN CRISTOBAL,2,0.8,2
2022,Q3,IQP,Docente,6to grado,SAN PEDRO DE MACORIS,2,3.4,2
2022,Q3,IQP,Docente,6to grado,SANTO DOMINGO,11,19.4,14
2022,Q3,IQP,Docente,6to grado,Sin ubicación,13,30.5,22
2022,Q3,IQP,Estudiante,1er grado,BARAHONA,1,21.4,5
2022,Q3,IQP,Estudiante,1er grado,HIGUEY,1,12.6,3
2022,Q3,IQP,Estudiante,1er grado,NAGUA,1,0.3,1
2022,Q3,IQP,Estudiante,1er grado,SAN CRISTOBAL,1,0.0,1
2022,Q3,IQP,Estudiante,1er grado,SAN JUAN DE LA MAGUANA,2,8.0,3
2022,Q3,IQP,Estudiante,1er grado,SANTO DOMINGO,6,30.9,20
2022,Q3,IQP,Estudiante,1er grado,Sin ubicación,7,16.0,11
2022,Q3,IQP,Estudiante,2do grado,AZUA,1,27.1,13
2022,Q3,IQP,Estudiante,2do grado,SAN JUAN DE LA MAGUANA,1,1.6,1
2022,Q3,IQP,Estudiante,2do grado,SANTO DOMINGO,2,2.6,5
2022,Q3,IQP,Estudiante,2do grado,Sin ubicación,4,25.7,9
2022,Q3,IQP,Estudiante,3er grado,SAN CRISTOBAL,1,1.4,1
2022,Q3,IQP,Estudiante,3er grado,SANTIAGO,1,0.4,1
2022,Q3,IQP,Estudiante,3er grado,SANTO DOMINGO,12,15.0,19
2022,Q3,IQP,Estudiante,3er grado,Sin ubicación,10,87.0,31
2022,Q3,IQP,Estudiante,4to grado,MAO,1,1.8,1
2022,Q3,IQP,Estudiante,4to grado,SANTO DOMINGO,5,28.8,8
2022,Q3,IQP,Estudiante,4to grado,Sin ubicación,8,113.0,29
2022,Q3,IQP,Estudiante,5to grado,AZUA,1,31.5,11
2022,Q3,IQP,Estudiante,5to grado,BARAHONA,1,7.7,9
2022,Q3,IQP,Estudiante,5to grado,LA VEGA,2,19.0,9
2022,Q3,IQP,Estudiante,5to grado,SANTIAGO,1,0.5,1
2022,Q3,IQP,Estudiante,5to grado,SANTO DOMINGO,3,5.6,4
2022,Q3,IQP,Estudiante,5to grado,Sin ubicación,8,33.4,14
2022,Q3,IQP,Estudiante,6to grado,AZUA,2,2.0,2
2022,Q3,IQP,Estudiante,6to grado,BAHORUCO,2,0.6,2
2022,Q3,IQP,Estudiante,6to grado,BARAHONA,1,7.3,2
2022,Q3,IQP,Estudiante,6to grado,HIGUEY,3,2.8,3
2022,Q3,IQP,Estudiante,6to grado,LA VEGA,1,0.5,2
2022,Q3,IQP,Estudiante,6to grado,MAO,1,9.7,14
2022,Q3,IQP,Estudiante,6to grado,MONTE PLATA,2,3.3,2
2022,Q3,IQP,Estudiante,6to grado,NAGUA,2,3.5,4
2022,Q3,IQP,Estudiante,6to grado,PUERTO PLATA,1,0.0,1
2022,Q3,IQP,Estudiante,6to grado,SAN CRISTOBAL,1,0.3,3
2022,Q3,IQP,Estudiante,6to grado,SAN FRANCISCO DE MACORIS,1,0.0,1
2022,Q3,IQP,Estudiante,6to grado,SAN JUAN DE LA MAGUANA,1,9.5,2
2022,Q3,IQP,Estudiante,6to grado,SAN PEDRO DE MACORIS,3,9.2,4
2022,Q3,IQP,Estudiante,6to grado,SANTIAGO,3,28.2,12
2022,Q3,IQP,Estudiante,6to grado,SANTO DOMINGO,27,85.5,47
2022,Q3,IQP,Estudiante,6to grado,Sin ubicación,48,183.2,74
2022,Q3,IQP,Parent,No especificado,Sin ubicación,2,2.0,4
2022,Q3,IQP,Sin rol,No especificado,Sin ubicación,1,456.2,50
2022,Q3,IQS,Admin,No especificado,Sin ubicación,1,2.4,8
2022,Q3,IQS,Docente,1er grado,Sin ubicación,1,0.4,1
2022,Q3,IQS,Docente,3er grado,Sin ubicación,1,0.5,1
2022,Q3,IQS,Docente,4to grado,AZUA,1,0.4,1
2022,Q3,IQS,Docente,6to grado,AZUA,2,4.4,3
2022,Q3,IQS,Docente,6to grado,SAN FRANCISCO DE MACORIS,1,0.6,1
2022,Q3,IQS,Docente,6to grado,SANTO DOMINGO,5,23.6,8
2022,Q3,IQS,Editor,No especificado,SANTIAGO,1,782.4,33
2022,Q3,IQS,Estudiante,1er grado,SANTIAGO,1,0.1,1
2022,Q3,IQS,Estudiante,1er grado,SANTO DOMINGO,6,25.9,10
2022,Q3,IQS,Estudiante,1er grado,Sin ubicación,6,3.7,7
2022,Q3,IQS,Estudiante,2do grado,SANTO DOMINGO,4,8.9,7
2022,Q3,IQS,Estudiante,2do grado,Sin ubicación,3,3.1,3
2022,Q3,IQS,Estudiante,3er grado,LA VEGA,1,5.4,2
2022,Q3,IQS,Estudiante,3er grado,SAN PEDRO DE MACORIS,1,2.0,2
2022,Q3,IQS,Estudiante,3er grado,SANTIAGO,12,24.3,14
2022,Q3,IQS,Estudiante,3er grado,SANTO DOMINGO,3,18.6,7
2022,Q3,IQS,Estudiante,3er grado,Sin ubicación,2,10.8,3
2022,Q3,IQS,Estudiante,4to grado,SANTIAGO,6,20.0,13
2022,Q3,IQS,Estudiante,4to grado,SANTO DOMINGO,6,71.8,14
2022,Q3,IQS,Estudiante,4to grado,Sin ubicación,3,5.8,5
2022,Q3,IQS,Estudiante,5to grado,AZUA,1,2.7,1
2022,Q3,IQS,Estudiante,5to grado,BAHORUCO,1,2.8,2
2022,Q3,IQS,Estudiante,5to grado,MONTE PLATA,1,6.2,3
2022,Q3,IQS,Estudiante,5to grado,SANTIAGO,9,40.5,12
2022,Q3,IQS,Estudiante,5to grado,SANTO DOMINGO,3,31.0,10
2022,Q3,IQS,Estudiante,5to grado,Sin ubicación,6,45.2,14
2022,Q3,IQS,Estudiante,6to grado,AZUA,2,4.2,4
2022,Q3,IQS,Estudiante,6to grado,LA VEGA,2,18.3,7
2022,Q3,IQS,Estudiante,6to grado,NAGUA,1,0.2,1
2022,Q3,IQS,Estudiante,6to grado,PUERTO PLATA,2,6.4,2
2022,Q3,IQS,Estudiante,6to grado,SAN FRANCISCO DE MACORIS,1,2.6,1
2022,Q3,IQS,Estudiante,6to grado,SAN JUAN DE LA MAGUANA,1,0.5,1
2022,Q3,IQS,Estudiante,6to grado,SAN PEDRO DE MACORIS,1,0.1,1
2022,Q3,IQS,Estudiante,6to grado,SANTIAGO,13,28.4,17
2022,Q3,IQS,Estudiante,6to grado,SANTO DOMINGO,25,89.1,43
2022,Q3,IQS,Estudiante,6to grado,Sin ubicación,11,30.6,17
2022,Q3,IQS,Estudiante,No especificado,Sin ubicación,3,2.2,4
2022,Q3,IQS,Invitado,2do grado,Sin ubicación,1,6.1,1
2022,Q3,IQS,Invitado,6to grado,Sin ubicación,8,49.4,11
2022,Q4,IQ512,Admin,No especificado,Sin ubicación,3,18.7,8
2022,Q4,IQ512,Editor,No especificado,Sin ubicación,1,651.7,38
2022,Q4,IQ512,Estudiante,No especificado,AZUA,304,1136.2,320
2022,Q4,IQ512,Estudiante,No especificado,BAHORUCO,24,132.5,29
2022,Q4,IQ512,Estudiante,No especificado,BARAHONA,198,271.5,209
2022,Q4,IQ512,Estudiante,No especificado,COTUI,47,454.3,58
2022,Q4,IQ512,Estudiante,No especificado,HIGUEY,232,1109.4,239
2022,Q4,IQ512,Estudiante,No especificado,LA VEGA,508,2113.0,535
2022,Q4,IQ512,Estudiante,No especificado,MAO,56,275.9,58
2022,Q4,IQ512,Estudiante,No especificado,MONTE CRISTI,59,322.0,68
2022,Q4,IQ512,Estudiante,No especificado,MONTE PLATA,21,30.5,24
2022,Q4,IQ512,Estudiante,No especificado,NAGUA,58,154.6,62
2022,Q4,IQ512,Estudiante,No especificado,PUERTO PLATA,188,565.5,197
2022,Q4,IQ512,Estudiante,No especificado,SAN CRISTOBAL,257,591.4,282
2022,Q4,IQ512,Estudiante,No especificado,SAN FRANCISCO DE MACORIS,160,307.4,173
2022,Q4,IQ512,Estudiante,No especificado,SAN JUAN DE LA MAGUANA,111,247.1,118
2022,Q4,IQ512,Estudiante,No especificado,SAN PEDRO DE MACORIS,364,1361.2,379
2022,Q4,IQ512,Estudiante,No especificado,SANTIAGO,489,1338.6,501
2022,Q4,IQ512,Estudiante,No especificado,SANTO DOMINGO,3172,13255.2,3315
2022,Q4,IQ512,Estudiante,No especificado,Sin ubicación,13183,40758.8,13240
2022,Q4,IQ512,Sin rol,No especificado,Sin ubicación,1,0.8,1
2022,Q4,IQP,Admin,No especificado,Sin ubicación,1,109.8,20
2022,Q4,IQP,Docente,3er grado,BARAHONA,1,26.4,1
2022,Q4,IQP,Docente,3er grado,MAO,1,1.2,1
2022,Q4,IQP,Docente,3er grado,SAN PEDRO DE MACORIS,1,3.5,1
2022,Q4,IQP,Docente,3er grado,Sin ubicación,4,30.1,6
2022,Q4,IQP,Docente,4to grado,BARAHONA,1,29.4,8
2022,Q4,IQP,Docente,4to grado,LA VEGA,1,1.0,1
2022,Q4,IQP,Docente,4to grado,SAN PEDRO DE MACORIS,1,24.6,4
2022,Q4,IQP,Docente,4to grado,SANTIAGO,1,18.3,1
2022,Q4,IQP,Docente,4to grado,SANTO DOMINGO,5,22.9,5
2022,Q4,IQP,Docente,4to grado,Sin ubicación,12,42.0,17
2022,Q4,IQP,Docente,6to grado,AZUA,1,5.4,2
2022,Q4,IQP,Docente,6to grado,BARAHONA,1,61.1,17
2022,Q4,IQP,Docente,6to grado,HIGUEY,1,9.3,2
2022,Q4,IQP,Docente,6to grado,LA VEGA,1,0.8,1
2022,Q4,IQP,Docente,6to grado,MAO,5,88.8,18
2022,Q4,IQP,Docente,6to grado,MONTE CRISTI,1,0.3,1
2022,Q4,IQP,Docente,6to grado,NAGUA,2,30.4,5
2022,Q4,IQP,Docente,6to grado,PUERTO PLATA,1,10.5,2
2022,Q4,IQP,Docente,6to grado,SAN CRISTOBAL,2,9.1,3
2022,Q4,IQP,Docente,6to grado,SAN FRANCISCO DE MACORIS,2,18.3,2
2022,Q4,IQP,Docente,6to grado,SANTO DOMINGO,8,3.2,10
2022,Q4,IQP,Docente,6to grado,Sin ubicación,11,44.1,16
2022,Q4,IQP,Estudiante,1er grado,BARAHONA,2,47.6,18
2022,Q4,IQP,Estudiante,1er grado,SANTO DOMINGO,6,150.9,34
2022,Q4,IQP,Estudiante,1er grado,Sin ubicación,17,79.7,47
2022,Q4,IQP,Estudiante,2do grado,AZUA,1,2.0,5
2022,Q4,IQP,Estudiante,2do grado,PUERTO PLATA,1,1.6,2
2022,Q4,IQP,Estudiante,2do grado,SAN JUAN DE LA MAGUANA,1,1.1,3
2022,Q4,IQP,Estudiante,2do grado,Sin ubicación,9,49.9,32
2022,Q4,IQP,Estudiante,3er grado,MAO,1,0.2,1
2022,Q4,IQP,Estudiante,3er grado,SANTO DOMINGO,5,11.6,10
2022,Q4,IQP,Estudiante,3er grado,Sin ubicación,12,94.5,33
2022,Q4,IQP,Estudiante,4to grado,SANTO DOMINGO,5,29.1,23
2022,Q4,IQP,Estudiante,4to grado,Sin ubicación,7,61.6,19
2022,Q4,IQP,Estudiante,5to grado,AZUA,1,21.7,7
2022,Q4,IQP,Estudiante,5to grado,BARAHONA,1,15.4,12
2022,Q4,IQP,Estudiante,5to grado,MAO,1,1.5,1
2022,Q4,IQP,Estudiante,5to grado,SANTO DOMINGO,4,20.1,9
2022,Q4,IQP,Estudiante,5to grado,Sin ubicación,6,39.6,14
2022,Q4,IQP,Estudiante,6to grado,BARAHONA,2,15.9,4
2022,Q4,IQP,Estudiante,6to grado,HIGUEY,2,0.7,2
2022,Q4,IQP,Estudiante,6to grado,MAO,1,5.3,3
2022,Q4,IQP,Estudiante,6to grado,NAGUA,3,60.9,20
2022,Q4,IQP,Estudiante,6to grado,SANTIAGO,1,2.7,2
2022,Q4,IQP,Estudiante,6to grado,SANTO DOMINGO,7,31.2,15
2022,Q4,IQP,Estudiante,6to grado,Sin ubicación,18,109.6,36
2022,Q4,IQP,Parent,1er grado,Sin ubicación,1,0.6,1
2022,Q4,IQP,Parent,No especificado,Sin ubicación,4,12.2,5
2022,Q4,IQP,Sin rol,No especificado,Sin ubicación,1,1010.0,55
2022,Q4,IQS,Admin,No especificado,Sin ubicación,1,74.8,15
2022,Q4,IQS,Docente,1er grado,AZUA,2,1.2,3
2022,Q4,IQS,Docente,1er grado,BAHORUCO,1,0.7,1
2022,Q4,IQS,Docente,1er grado,HIGUEY,1,0.3,1
2022,Q4,IQS,Docente,1er grado,MONTE CRISTI,1,0.9,1
2022,Q4,IQS,Docente,1er grado,NAGUA,1,7.3,2
2022,Q4,IQS,Docente,1er grado,PUERTO PLATA,1,0.1,1
2022,Q4,IQS,Docente,1er grado,SAN FRANCISCO DE MACORIS,1,7.3,2
2022,Q4,IQS,Docente,1er grado,SAN PEDRO DE MACORIS,2,11.6,2
2022,Q4,IQS,Docente,1er grado,SANTIAGO,5,26.9,8
2022,Q4,IQS,Docente,1er grado,SANTO DOMINGO,12,26.2,19
2022,Q4,IQS,Docente,1er grado,Sin ubicación,16,103.5,33
2022,Q4,IQS,Docente,4to grado,AZUA,1,33.5,6
2022,Q4,IQS,Docente,6to grado,BAHORUCO,1,7.5,2
2022,Q4,IQS,Docente,6to grado,COTUI,2,11.8,4
2022,Q4,IQS,Docente,6to grado,LA VEGA,1,0.3,1
2022,Q4,IQS,Docente,6to grado,MONTE CRISTI,2,0.8,2
2022,Q4,IQS,Docente,6to grado,MONTE PLATA,2,0.5,2
2022,Q4,IQS,Docente,6to grado,NAGUA,2,49.6,10
2022,Q4,IQS,Docente,6to grado,PUERTO PLATA,1,1.0,1
2022,Q4,IQS,Docente,6to grado,SAN FRANCISCO DE MACORIS,2,16.7,4
2022,Q4,IQS,Docente,6to grado,SAN JUAN DE LA MAGUANA,1,14.5,1
2022,Q4,IQS,Docente,6to grado,SAN PEDRO DE MACORIS,4,25.5,6
2022,Q4,IQS,Docente,6to grado,SANTIAGO,1,7.9,2
2022,Q4,IQS,Docente,6to grado,SANTO DOMINGO,31,529.6,87
2022,Q4,IQS,Docente,6to grado,Sin ubicación,10,154.4,32
2022,Q4,IQS,Editor,No especificado,SANTIAGO,1,588.0,37
2022,Q4,IQS,Estudiante,1er grado,NAGUA,4,145.1,28
2022,Q4,IQS,Estudiante,1er grado,SANTO DOMINGO,10,127.0,35
2022,Q4,IQS,Estudiante,1er grado,Sin ubicación,15,153.8,36
2022,Q4,IQS,Estudiante,2do grado,BARAHONA,1,0.4,1
2022,Q4,IQS,Estudiante,2do grado,NAGUA,4,110.1,18
2022,Q4,IQS,Estudiante,2do grado,SAN FRANCISCO DE MACORIS,2,0.4,4
2022,Q4,IQS,Estudiante,2do grado,SANTO DOMINGO,18,128.5,44
2022,Q4,IQS,Estudiante,2do grado,Sin ubicación,10,127.3,20
2022,Q4,IQS,Estudiante,3er grado,BARAHONA,1,4.6,2
2022,Q4,IQS,Estudiante,3er grado,LA VEGA,2,3.2,3
2022,Q4,IQS,Estudiante,3er grado,MONTE PLATA,1,5.5,2
2022,Q4,IQS,Estudiante,3er grado,NAGUA,4,213.9,31
2022,Q4,IQS,Estudiante,3er grado,SAN PEDRO DE MACORIS,1,12.4,3
2022,Q4,IQS,Estudiante,3er grado,SANTIAGO,3,2.0,3
2022,Q4,IQS,Estudiante,3er grado,SANTO DOMINGO,19,49.2,31
2022,Q4,IQS,Estudiante,3er grado,Sin ubicación,14,139.5,30
2022,Q4,IQS,Estudiante,4to grado,BARAHONA,1,2.3,1
2022,Q4,IQS,Estudiante,4to grado,HIGUEY,1,6.6,1
2022,Q4,IQS,Estudiante,4to grado,LA VEGA,2,11.4,2
2022,Q4,IQS,Estudiante,4to grado,MAO,2,5.5,3
2022,Q4,IQS,Estudiante,4to grado,NAGUA,2,126.2,18
2022,Q4,IQS,Estudiante,4to grado,SAN CRISTOBAL,1,1.8,1
2022,Q4,IQS,Estudiante,4to grado,SANTIAGO,11,20.8,15
2022,Q4,IQS,Estudiante,4to grado,SANTO DOMINGO,50,456.3,89
2022,Q4,IQS,Estudiante,4to grado,Sin ubicación,22,74.7,35
