Anio,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2022,IQS,Estudiante,4to grado,SAN CRISTOBAL,1,1.8,1
2022,IQS,Estudiante,4to grado,SANTIAGO,16,40.8,28
2022,IQS,Estudiante,4to grado,SANTO DOMINGO,52,528.1,103
2022,IQS,Estudiante,4to grado,Sin ubicación,25,80.5,40
2022,IQS,Estudiante,5to grado,AZUA,1,2.7,1
2022,IQS,Estudiante,5to grado,BAHORUCO,1,2.8,2
2022,IQS,Estudiante,5to grado,BARAHONA,1,1.3,1
2022,IQS,Estudiante,5to grado,HIGUEY,1,0.4,1
2022,IQS,Estudiante,5to grado,LA VEGA,3,20.5,3
2022,IQS,Estudiante,5to grado,MONTE PLATA,1,6.2,3
2022,IQS,Estudiante,5to grado,SANTIAGO,22,158.4,48
2022,IQS,Estudiante,5to grado,SANTO DOMINGO,50,367.7,80
2022,IQS,Estudiante,5to grado,Sin ubicación,22,193.3,48
2022,IQS,Estudiante,6to grado,AZUA,9,19.0,19
2022,IQS,Estudiante,6to grado,BAHORUCO,4,4.7,4
2022,IQS,Estudiante,6to grado,BARAHONA,6,45.4,9
2022,IQS,Estudiante,6to grado,COTUI,1,0.3,1
2022,IQS,Estudiante,6to grado,HIGUEY,13,30.4,15
2022,IQS,Estudiante,6to grado,LA VEGA,31,155.2,52
2022,IQS,Estudiante,6to grado,MONTE CRISTI,1,4.6,3
2022,IQS,Estudiante,6to grado,MONTE PLATA,3,11.3,3
2022,IQS,Estudiante,6to grado,NAGUA,8,194.2,25
2022,IQS,Estudiante,6to grado,PUERTO PLATA,8,60.8,10
2022,IQS,Estudiante,6to grado,SAN CRISTOBAL,16,36.7,22
2022,IQS,Estudiante,6to grado,SAN FRANCISCO DE MACORIS,15,58.0,15
2022,IQS,Estudiante,6to grado,SAN JUAN DE LA MAGUANA,7,17.1,10
2022,IQS,Estudiante,6to grado,SAN PEDRO DE MACORIS,11,57.7,14
2022,IQS,Estudiante,6to grado,SANTIAGO,67,875.3,212
