Anio,Mes,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2022,5,IQP,Estudiante,6to grado,SAN CRISTOBAL,2,2.2,2
2022,5,IQP,Estudiante,6to grado,SAN FRANCISCO DE MACORIS,1,0.3,1
2022,5,IQP,Estudiante,6to grado,SANTIAGO,11,30.9,17
2022,5,IQP,Estudiante,6to grado,SANTO DOMINGO,104,441.0,152
2022,5,IQP,Estudiante,6to grado,Sin ubicación,120,791.4,272
2022,5,IQP,Parent,No especificado,Sin ubicación,2,5.8,3
2022,5,IQP,Sin rol,No especificado,Sin ubicación,2,252.6,19
2022,6,IQP,Admin,No especificado,Sin ubicación,1,0.0,2
2022,6,IQP,Docente,6to grado,BARAHONA,2,5.6,6
2022,6,IQP,Docente,6to grado,COTUI,2,0.1,2
2022,6,IQP,Docente,6to grado,LA VEGA,2,6.3,2
2022,6,IQP,Docente,6to grado,MAO,1,36.7,6
2022,6,IQP,Docente,6to grado,MONTE CRISTI,1,6.6,1
2022,6,IQP,Docente,6to grado,NAGUA,1,5.6,2
2022,6,IQP,Docente,6to grado,SAN FRANCISCO DE MACORIS,1,10.2,1
2022,6,IQP,Docente,6to grado,SAN PEDRO DE MACORIS,1,1.1,1
2022,6,IQP,Docente,6to grado,SANTIAGO,2,8.5,3
2022,6,IQP,Docente,6to grado,SANTO DOMINGO,8,9.3,11
2022,6,IQP,Docente,6to grado,Sin ubicación,25,102.4,37
2022,6,IQP,Estudiante,1er grado,SANTO DOMINGO,3,27.3,6
2022,6,IQP,Estudiante,1er grado,Sin ubicación,2,6.4,4
2022,6,IQP,Estudiante,2do grado,AZUA,1,0.7,1
2022,6,IQP,Estudiante,2do grado,NAGUA,1,5.0,1
2022,6,IQP,Estudiante,2do grado,SAN PEDRO DE MACORIS,1,0.5,1
2022,6,IQP,Estudiante,2do grado,SANTIAGO,1,0.4,1
2022,6,IQP,Estudiante,2do grado,SANTO DOMINGO,4,12.4,5
2022,6,IQP,Estudiante,2do grado,Sin ubicación,1,1.4,3
